,ngram,risk_factor,umls_id,umls_term
879,Adenocarcinoma of pancreas,cancer,C0030274,Pancreas
880,Adenocarcinoma of prostate,cancer,C0001418,Adenocarcinoma
881,Adenocarcinoma of prostate,cancer,C0033572,Prostate
882,Adenocarcinoma of rectum,cancer,C0001418,Adenocarcinoma
883,Adenocarcinoma of rectum,cancer,C0034896,Rectum
884,Adenocarcinoma of small intestine,cancer,C0001418,Adenocarcinoma
885,Adenocarcinoma of small intestine,cancer,C0021852,"Intestines, Small"
886,"Adenocarcinoma, intestinal type",cancer,C0001418,Adenocarcinoma
887,"Adenocarcinoma, intestinal type",cancer,C0334279,"Adenocarcinoma, intestinal type"
888,Adenoid cystic carcinoma of salivary gland,cancer,C0010606,Adenoid Cystic Carcinoma
889,Adenoid cystic carcinoma of salivary gland,cancer,C0036098,Salivary Glands
890,Adenosarcoma,cancer,C0001442,Adenosarcoma
891,Aggressive natural killer-cell leukemia,cancer,C1292777,Aggressive natural killer-cell leukemia
892,Aleukemic leukemia,cancer,C0877858,Aleukemic leukemia
893,Alveolar rhabdomyosarcoma,cancer,C0206655,Alveolar rhabdomyosarcoma
894,Anal carcinoma,cancer,C0279637,Anal carcinoma
895,Anaplastic thyroid carcinoma,cancer,C0238461,Anaplastic thyroid carcinoma
896,Angiosarcoma of liver,cancer,C0018923,Hemangiosarcoma
897,Angiosarcoma of liver,cancer,C0736268,Liver parenchyma
898,Angiosarcoma of spleen,cancer,C0018923,Hemangiosarcoma
899,Angiosarcoma of spleen,cancer,C0771377,Spleen Tissue
900,Astroblastoma,cancer,C0334587,Astroblastoma
901,Atypical carcinoid tumor,cancer,C1266032,Atypical carcinoid tumor
902,Atypical teratoid/rhabdoid tumor,cancer,C0205182,Atypical
903,Atypical teratoid/rhabdoid tumor,cancer,C1266184,Atypical teratoid/rhabdoid tumor
904,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,cancer,C0079731,B-Cell Lymphomas
905,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,cancer,C4288075,Unclassifiable Lesion
906,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,cancer,C2346469,Image Feature
907,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,cancer,C0205103,Intermediate
908,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,cancer,C0019829,Hodgkin Disease
909,B-cell lymphoma unclassifiable with features intermediate between classical Hodgkin lymphoma and diffuse large B-cell lymphoma,cancer,C0079744,Diffuse Large B-Cell Lymphoma
910,Basal cell carcinoma,cancer,C1547219,Tissue Type Code - Basal cell carcinoma
911,Basophilic leukemia,cancer,C0221292,Basophilic leukemia
912,Bile duct carcinoma,cancer,C0740277,Bile duct carcinoma
913,Bile duct cystadenocarcinoma,cancer,C0334286,Bile duct cystadenocarcinoma
914,Blastoma,cancer,C0936282,Blastoma
915,Botryoid sarcoma,cancer,C1306573,Botryoid sarcoma
916,"Bronchiolo-alveolar carcinoma, mucinous",cancer,C0007120,Bronchioloalveolar Adenocarcinoma
917,"Bronchiolo-alveolar carcinoma, mucinous",cancer,C1513712,Mucinous
918,Burkitt-like lymphoma,cancer,C1368771,Burkitt-like lymphoma
919,Carcinoma ex pleomorphic adenoma,cancer,C0007097,Carcinoma
920,Carcinoma ex pleomorphic adenoma,cancer,C0026277,Mixed Salivary Gland Tumor
921,Carcinoma of anal canal,cancer,C0007097,Carcinoma
922,Carcinoma of anal canal,cancer,C0227411,Anal canal
923,Carcinoma of base of tongue,cancer,C0007097,Carcinoma
924,Carcinoma of base of tongue,cancer,C0040408,Tongue
925,Carcinoma of bladder,cancer,C0007097,Carcinoma
926,Carcinoma of bladder,cancer,C0005682,Urinary Bladder
927,Carcinoma of larynx,cancer,C0007097,Carcinoma
928,Carcinoma of larynx,cancer,C0023078,Larynx
929,Carcinoma of lung,cancer,C0007097,Carcinoma
930,Carcinoma of lung,cancer,C0024109,Lung
931,Carcinoma of subglottis,cancer,C0007097,Carcinoma
932,Carcinoma of subglottis,cancer,C0456475,Subglottis structure
933,"Carcinoma of urinary bladder, superficial",cancer,C0007097,Carcinoma
934,"Carcinoma of urinary bladder, superficial",cancer,C0005682,Urinary Bladder
935,"Carcinoma of urinary bladder, superficial",cancer,C0205124,Superficial
936,Carcinoma showing thymus-like element,cancer,C0007097,Carcinoma
937,Carcinoma simplex,cancer,C0334297,Carcinoma simplex
938,"Carcinoma, diffuse type",cancer,C0007097,Carcinoma
939,"Carcinoma, diffuse type",cancer,C0205219,Diffuse
940,Carcinomatosis,cancer,C0205699,Carcinomatosis
941,Carcinomatosis of peritoneal cavity,cancer,C0205699,Carcinomatosis
942,Carcinomatosis of peritoneal cavity,cancer,C1704247,Peritoneal Cavity
943,Carcinosarcoma,cancer,C0007140,Carcinosarcoma
944,Ceruminous adenocarcinoma,cancer,C0334353,Ceruminous adenocarcinoma
945,Ceruminous gland adenocarcinoma,cancer,C1275220,Ceruminous gland adenocarcinoma
946,Chondroid chordoma,cancer,C1266173,Chondroid chordoma
947,Chordoma,cancer,C0008487,Chordoma
948,Choriocarcinoma,cancer,C0008497,Choriocarcinoma
949,Chronic eosinophilic leukemia,cancer,C0346421,Chronic eosinophilic leukemia
950,Chronic leukemia (category),cancer,C1279296,Chronic leukemia (category)
951,Chronic leukemia (category),cancer,C0683312,Categories
952,Chronic leukemia in remission,cancer,C1279296,Chronic leukemia (category)
953,Chronic leukemia in remission,cancer,C0544452,Disease remission
954,Cutaneous lymphoma,cancer,C1276146,Cutaneous lymphoma
955,Cystadenocarcinoma,cancer,C0010631,Cystadenocarcinoma
956,Cystadenocarcinoma of kidney,cancer,C0010631,Cystadenocarcinoma
957,Cystadenocarcinoma of kidney,cancer,C0022646,Kidney
958,Cytogenetically normal acute myeloid leukemia,cancer,C0010802,Cytogenetics
959,Cytogenetically normal acute myeloid leukemia,cancer,C0023467,"Leukemia, Myelocytic, Acute"
960,Desmoplastic mesothelioma,cancer,C1270206,Desmoplastic mesothelioma
961,Diffuse follicle center lymphoma,cancer,C1333290,Diffuse follicle center lymphoma
962,Early gastric cancer,cancer,C1279919,Early
963,Early gastric cancer,cancer,C0024623,Malignant neoplasm of stomach
964,Endometrioid carcinoma ovary,cancer,C0346163,Endometrioid carcinoma ovary
965,Eosinophilic leukemia,cancer,C0206142,Eosinophilic leukemia
966,Epithelioid hemangioendothelioma,cancer,C0206732,Epithelioid hemangioendothelioma
967,Epithelioid hemangioendothelioma of lung,cancer,C0206732,Epithelioid hemangioendothelioma
968,Epithelioid hemangioendothelioma of lung,cancer,C0024109,Lung
969,"Epithelioid mesothelioma, malignant",cancer,C0862312,"Epithelioid mesothelioma, malignant"
970,"Epithelioid mesothelioma, malignant",cancer,C0205282,Malignant - descriptor
971,Epstein-Barr virus associated gastric carcinoma,cancer,C0014644,Epstein-Barr Virus
972,Epstein-Barr virus associated gastric carcinoma,cancer,C0699791,Stomach Carcinoma
973,Epstein-Barr virus positive diffuse large B-cell lymphoma of elderly,cancer,C0014644,Epstein-Barr Virus
974,Epstein-Barr virus positive diffuse large B-cell lymphoma of elderly,cancer,C0079744,Diffuse Large B-Cell Lymphoma
975,Epstein-Barr virus positive diffuse large B-cell lymphoma of elderly,cancer,C0001792,Elderly (population group)
976,Erythrodermic mycosis fungoides,cancer,C1275303,Erythrodermic mycosis fungoides
977,Fibroblastic liposarcoma,cancer,C1266130,Fibroblastic liposarcoma
978,Fibroblastic osteosarcoma,cancer,C0016030,Fibroblasts
979,Fibroblastic osteosarcoma,cancer,C0029463,Osteosarcoma
980,Fibroblastic reticular cell tumor,cancer,C2825739,Fibroblastic reticular cell tumor
981,Fibrosarcoma,cancer,C0016057,Fibrosarcoma
982,Follicular thyroid carcinoma,cancer,C0206682,Follicular thyroid carcinoma
983,Ganglioneuroblastoma,cancer,C0206718,Ganglioneuroblastoma
984,Gastric lymphoma,cancer,C0349532,Gastric lymphoma
985,"Gastrinoma, malignant",cancer,C0017150,Gastrinoma
986,"Gastrinoma, malignant",cancer,C0205282,Malignant - descriptor
987,Gastrointestinal lymphoma,cancer,C0740372,Gastrointestinal lymphoma
988,Gemistocytic astrocytoma,cancer,C0334581,Gemistocytic astrocytoma
989,Giant cell sarcoma,cancer,C1261358,Giant cell sarcoma
990,Gliomatosis cerebri,cancer,C0334576,Gliomatosis cerebri
991,HER2-positive carcinoma of breast,cancer,C0006141,Breast
992,Hemangiosarcoma,cancer,C0018923,Hemangiosarcoma
993,Hepatoblastoma,cancer,C0206624,Hepatoblastoma
994,"Hepatocellular carcinoma, scirrhous",cancer,C2239176,Liver carcinoma
995,"Hepatocellular carcinoma, scirrhous",cancer,C0332534,Induration
996,Hepatosplenic T-cell lymphoma,cancer,C1333984,Hepatosplenic T-cell lymphoma
997,High grade B-cell lymphoma,cancer,C0456863,High grade B-cell lymphoma
998,Histiocytic leukemia,cancer,C1321757,Histiocytic leukemia
999,"Hodgkin's disease, nodular sclerosis (clinical)",cancer,C0019829,Hodgkin Disease
1000,"Hodgkin's disease, nodular sclerosis (clinical)",cancer,C0152268,"Hodgkin's disease, nodular sclerosis (clinical)"
1001,"Hodgkin's disease, nodular sclerosis (clinical)",cancer,C0205210,Clinical
1002,Hormone refractory prostate cancer,cancer,C0205269,Unresponsive to Treatment
1003,Hormone refractory prostate cancer,cancer,C0600139,Prostate carcinoma
1004,IgA myeloma,cancer,C0563305,IgA myeloma
1005,IgG myeloma,cancer,C0563306,IgG myeloma
1006,Indolent multiple myeloma,cancer,C2049069,Indolent multiple myeloma
1007,Infantile fibrosarcoma,cancer,C0334459,Infantile fibrosarcoma
1008,Invasive carcinoma of breast,cancer,C1334274,Invasive Carcinoma
1009,Invasive carcinoma of breast,cancer,C0006141,Breast
1010,Kaposi's sarcoma of conjunctiva,cancer,C0036220,Kaposi Sarcoma
1011,Kaposi's sarcoma of conjunctiva,cancer,C0009758,conjunctiva
1012,Kaposi's sarcoma of lung,cancer,C0036220,Kaposi Sarcoma
1013,Kaposi's sarcoma of lung,cancer,C0024109,Lung
1014,Kaposi's sarcoma of skin,cancer,C0036220,Kaposi Sarcoma
1015,Kaposi's sarcoma of skin,cancer,C1123023,Skin
1016,Large cell carcinoma of lung,cancer,C0549177,Large
1017,Large cell carcinoma of lung,cancer,C1518174,Malignant Epithelial Cell
1018,Large cell carcinoma of lung,cancer,C0024109,Lung
1019,Large cell neuroendocrine carcinoma,cancer,C0549177,Large
1020,Large cell neuroendocrine carcinoma,cancer,C0206695,"Carcinoma, Neuroendocrine"
1021,Leiomyosarcoma of stomach,cancer,C0023269,leiomyosarcoma
1022,Leiomyosarcoma of stomach,cancer,C0038351,Stomach
1023,Leiomyosarcoma of uterus,cancer,C0023269,leiomyosarcoma
1024,Leiomyosarcoma of uterus,cancer,C0042149,Uterus
1025,Leukemic infiltration of skin,cancer,C0877858,Aleukemic leukemia
1026,Leukemic infiltration of skin,cancer,C3669041,Spread by direct extension
1027,Leukemic infiltration of skin,cancer,C1123023,Skin
1028,Lipid-rich carcinoma,cancer,C0334318,Lipid-rich carcinoma
1029,Low-grade fibromyxoid sarcoma,cancer,C1275282,Low-grade fibromyxoid sarcoma
1030,Lymphangitis carcinomatosa,cancer,C0238258,Lymphangitis carcinomatosa
1031,Lymphoepithelial carcinoma,cancer,C0334254,Lymphoepithelial carcinoma
1032,Lymphoepithelioid lymphoma (clinical),cancer,C1621719,Lymphoepithelioid lymphoma (clinical)
1033,Lymphoepithelioid lymphoma (clinical),cancer,C0205210,Clinical
1034,Lymphoid leukemia,cancer,C0023448,Lymphoid leukemia
1035,Lymphoma of colon,cancer,C0024299,Lymphoma
1036,Lymphoma of colon,cancer,C0009368,Colon structure (body structure)
1037,Lymphoma of intestine,cancer,C0024299,Lymphoma
1038,Lymphoma of intestine,cancer,C0021853,Intestines
1039,Lymphoma of kidney,cancer,C0024299,Lymphoma
1040,Lymphoma of kidney,cancer,C0022646,Kidney
1041,Malignant lymphoma of spleen,cancer,C0024299,Lymphoma
1042,Malignant lymphoma of spleen,cancer,C0771377,Spleen Tissue
1043,Malignant melanoma of anus,cancer,C0025202,melanoma
1044,Malignant melanoma of anus,cancer,C0003461,Anus
1045,Malignant melanoma of choroid,cancer,C0025202,melanoma
1046,Malignant melanoma of choroid,cancer,C0008520,Choroid
1047,Malignant melanoma of ciliary body,cancer,C0025202,melanoma
1048,Malignant melanoma of ciliary body,cancer,C0008779,Ciliary Body
1049,Malignant melanoma of conjunctiva,cancer,C0025202,melanoma
1050,Malignant melanoma of conjunctiva,cancer,C0009758,conjunctiva
1051,Malignant melanoma of eye,cancer,C0025202,melanoma
1052,Malignant melanoma of eye,cancer,C1546630,Eye Specimen Source Code
1053,Malignant melanoma of eyelid,cancer,C0025202,melanoma
1054,Malignant melanoma of eyelid,cancer,C0015426,Eyelid structure
1055,Malignant melanoma of iris,cancer,C0025202,melanoma
1056,Malignant melanoma of iris,cancer,C1001362,Iris <angiosperm>
1057,Malignant myoepithelioma,cancer,C0205282,Malignant - descriptor
1058,Malignant neoplasm of abdomen,cancer,C0006826,Malignant Neoplasms
1059,Malignant neoplasm of abdomen,cancer,C0230168,Abdominal Cavity
1060,Malignant neoplasm of adrenal cortex,cancer,C0006826,Malignant Neoplasms
1061,Malignant neoplasm of adrenal cortex,cancer,C0001613,Adrenal Cortex
1062,Malignant neoplasm of brain,cancer,C0006826,Malignant Neoplasms
1063,Malignant neoplasm of brain,cancer,C0006104,Brain
1064,Malignant neoplasm of carotid body,cancer,C0006826,Malignant Neoplasms
1065,Malignant neoplasm of carotid body,cancer,C0007277,Carotid Body
1066,Malignant neoplasm of central nervous system,cancer,C0006826,Malignant Neoplasms
1067,Malignant neoplasm of central nervous system,cancer,C3714787,Central Nervous System
1068,Malignant neoplasm of gastrointestinal tract,cancer,C0006826,Malignant Neoplasms
1069,Malignant neoplasm of gastrointestinal tract,cancer,C0017189,Gastrointestinal tract structure
1070,Malignant neoplasm of liver,cancer,C0006826,Malignant Neoplasms
1071,Malignant neoplasm of liver,cancer,C0736268,Liver parenchyma
1072,Malignant neoplasm of skin,cancer,C0006826,Malignant Neoplasms
1073,Malignant neoplasm of skin,cancer,C1123023,Skin
1074,Malignant neoplasm of thorax,cancer,C0006826,Malignant Neoplasms
1075,Malignant neoplasm of thorax,cancer,C0817096,Chest
1076,Malignant pericardial effusion,cancer,C0205282,Malignant - descriptor
1077,Malignant pericardial effusion,cancer,C0031039,Pericardial effusion
1078,Malignant phyllodes tumor of breast,cancer,C0205282,Malignant - descriptor
1079,Malignant phyllodes tumor of breast,cancer,C2998956,Phyllodes
1080,Malignant phyllodes tumor of breast,cancer,C0027651,Neoplasms
1081,Malignant phyllodes tumor of breast,cancer,C0006141,Breast
1082,Malignant tumor of colon,cancer,C0006826,Malignant Neoplasms
1083,Malignant tumor of colon,cancer,C0009368,Colon structure (body structure)
1084,Malignant tumor of exocrine pancreas,cancer,C0006826,Malignant Neoplasms
1085,Malignant tumor of exocrine pancreas,cancer,C0553695,Exocrine pancreas
1086,Malignant tumor of mediastinum,cancer,C0006826,Malignant Neoplasms
1087,Malignant tumor of mediastinum,cancer,C0025066,Mediastinum
1088,Malignant tumor of orbit,cancer,C0006826,Malignant Neoplasms
1089,Malignant tumor of orbit,cancer,C0029180,Ocular orbit
1090,Malignant tumor of peritoneum,cancer,C0006826,Malignant Neoplasms
1091,Malignant tumor of peritoneum,cancer,C0031153,Peritoneum
1092,Malignant tumor of pleura,cancer,C0006826,Malignant Neoplasms
1093,Malignant tumor of pleura,cancer,C0032225,Pleura
1094,Malignant tumor of renal pelvis,cancer,C0006826,Malignant Neoplasms
1095,Malignant tumor of renal pelvis,cancer,C0227666,Renal pelvis
1096,"Malignant tumor, fusiform cell type",cancer,C0006826,Malignant Neoplasms
1097,"Malignant tumor, fusiform cell type",cancer,C0333721,Fusiform cell
1098,Medullary carcinoma,cancer,C0206693,Medullary carcinoma
1099,Medulloblastoma,cancer,C0025149,Medulloblastoma
1100,Medulloepithelioma,cancer,C0334596,Medulloepithelioma
1101,Meningeal sarcomatosis,cancer,C0334612,Meningeal sarcomatosis
1102,Merkel cell carcinoma,cancer,C0007129,Merkel cell carcinoma
1103,Mesothelioma,cancer,C0025500,Mesothelioma
1104,"Mesothelioma, biphasic, malignant",cancer,C0025500,Mesothelioma
1105,"Mesothelioma, biphasic, malignant",cancer,C0205184,Biphasic
1106,"Mesothelioma, biphasic, malignant",cancer,C0205282,Malignant - descriptor
1107,Metastasis from malignant tumor of prostate,cancer,C2939419,Secondary Neoplasm
1108,Metastasis from malignant tumor of prostate,cancer,C0006826,Malignant Neoplasms
1109,Metastasis from malignant tumor of prostate,cancer,C0033572,Prostate
1110,Metastatic hepatocellular carcinoma,cancer,C0744869,Metastatic hepatocellular carcinoma
1111,Mixed epithelioid and spindle cell melanoma,cancer,C0334442,Mixed epithelioid and spindle cell melanoma
1112,Mixed epithelioid and spindle cell melanoma,cancer,C0334444,Spindle Cell Melanoma
1113,Mixed phenotype acute leukemia,cancer,C2826025,Mixed phenotype acute leukemia
1114,Mucin-producing adenocarcinoma,cancer,C0334368,Mucin-producing adenocarcinoma
1115,Multiple malignancy,cancer,C0346429,Multiple malignancy
1116,"Myelodysplastic syndrome, no ICD-O subtype",cancer,C3463824,MYELODYSPLASTIC SYNDROME
1117,"Myelodysplastic syndrome, no ICD-O subtype",cancer,C0039538,Teratoma
1118,Myelomonocytic leukemia,cancer,C0027019,Myelomonocytic leukemia
1119,Myxosarcoma,cancer,C0027155,Myxosarcoma
1120,Nasopharyngeal carcinoma,cancer,C2931822,Nasopharyngeal carcinoma
1121,Nephroblastoma,cancer,C0027708,Nephroblastoma
1122,Neuroblastoma,cancer,C0027819,Neuroblastoma
1123,Neuroblastoma of brain,cancer,C0027819,Neuroblastoma
1124,Neuroblastoma of brain,cancer,C0006104,Brain
1125,Neuroendocrine carcinoma of appendix,cancer,C0206695,"Carcinoma, Neuroendocrine"
1126,Neuroendocrine carcinoma of appendix,cancer,C0003617,Appendix
1127,Non-small cell carcinoma,cancer,C1266002,Non-small cell carcinoma
1128,Orbital lymphoma,cancer,C0271333,Orbital lymphoma
1129,Osteosarcoma,cancer,C0029463,Osteosarcoma
1130,Pagetoid reticulosis,cancer,C1367970,Pagetoid reticulosis
1131,Pancreatoblastoma,cancer,C0334489,Pancreatoblastoma
1132,Papillary adenocarcinoma,cancer,C0001420,Papillary adenocarcinoma
1133,Papillary thyroid carcinoma,cancer,C0238463,Papillary thyroid carcinoma
1134,Peripheral neuroblastoma,cancer,C0878524,Peripheral neuroblastoma
1135,Philadelphia chromosome positive chronic myelogenous leukemia,cancer,C0856536,Philadelphia chromosome positive
1136,Philadelphia chromosome positive chronic myelogenous leukemia,cancer,C0023473,"Myeloid Leukemia, Chronic"
1137,Pilomatrix carcinoma of skin,cancer,C0585475,Pilomatrix carcinoma of skin
1138,Pilomatrix carcinoma of skin,cancer,C1123023,Skin
1139,Pituitary carcinoma,cancer,C0346300,Pituitary carcinoma
1140,Plasmacytoma,cancer,C1532560,Plasmacytoma - category
1141,Plasmacytoma - category,cancer,C1532560,Plasmacytoma - category
1142,Plasmacytoma - category,cancer,C0683312,Categories
1143,Pleuropulmonary blastoma,cancer,C1266144,Pleuropulmonary blastoma
1144,Polycythemia,cancer,C0032461,Polycythemia
1145,Polygonal cell carcinoma,cancer,C0334236,Polygonal cell carcinoma
1146,Precursor B-cell lymphoblastic leukemia,cancer,C0023485,Precursor B-Cell Lymphoblastic Leukemia-Lymphoma
1147,Precursor T-cell lymphoblastic lymphoma,cancer,C1292758,Precursor T-cell lymphoblastic lymphoma
1148,Precursor cell lymphoblastic lymphoma,cancer,C0079748,Precursor cell lymphoblastic lymphoma
1149,Primary adenocarcinoma of colon,cancer,C0001418,Adenocarcinoma
1150,Primary adenocarcinoma of colon,cancer,C0009368,Colon structure (body structure)
1151,Primary central nervous system lymphoma,cancer,C0280803,Primary central nervous system lymphoma
1152,Primary cerebral lymphoma,cancer,C0240803,Primary cerebral lymphoma
1153,Primary cutaneous gamma-delta T-cell lymphoma,cancer,C1707547,Primary cutaneous gamma-delta T-cell lymphoma
1154,Primary cutaneous lymphoma,cancer,C1302772,Primary cutaneous lymphoma
1155,Primary hepatic neuroendocrine carcinoma,cancer,C3273031,Primary hepatic neuroendocrine carcinoma
1156,Primary leiomyosarcoma,cancer,C0855057,Primary leiomyosarcoma
1157,Primary malignant neoplasm,cancer,C1306459,Primary malignant neoplasm
1158,Primary malignant neoplasm of left lung,cancer,C1306459,Primary malignant neoplasm
1159,Primary malignant neoplasm of left lung,cancer,C0225730,Left lung
1160,Primary malignant neoplasm of liver,cancer,C1306459,Primary malignant neoplasm
1161,Primary malignant neoplasm of liver,cancer,C0736268,Liver parenchyma
1162,Primary pulmonary lymphoma,cancer,C4273669,Primary pulmonary lymphoma
1163,Protoplasmic astrocytoma,cancer,C0175996,Protoplasm
1164,Protoplasmic astrocytoma,cancer,C0004114,Astrocytoma
1165,Refractory anemia with excess blasts in transformation (clinical),cancer,C0002893,Refractory anemias
1166,Refractory anemia with excess blasts in transformation (clinical),cancer,C1979886,Excess
1167,Refractory anemia with excess blasts in transformation (clinical),cancer,C0337026,Blast (physical force)
1168,Refractory anemia with excess blasts in transformation (clinical),cancer,C0040682,cell transformation
1169,Refractory anemia with excess blasts in transformation (clinical),cancer,C0205210,Clinical
1170,Refractory cytopenia with multilineage dysplasia,cancer,C2826321,Refractory Thrombocytopenia
1171,Refractory cytopenia with multilineage dysplasia,cancer,C1292773,Acute myeloid leukemia with multilineage dysplasia
1172,Retinoblastoma,cancer,C0035335,Retinoblastoma
1173,Rhabdomyosarcoma,cancer,C0035412,Rhabdomyosarcoma
1174,Richter's syndrome,cancer,C0349631,Richter's syndrome
1175,Salivary duct carcinoma,cancer,C1301194,Salivary duct carcinoma
1176,Sarcoma,cancer,C1261473,Sarcoma
1177,Sarcoma of liver,cancer,C1261473,Sarcoma
1178,Sarcoma of liver,cancer,C0736268,Liver parenchyma
1179,"Sarcoma, metastatic",cancer,C1261473,Sarcoma
1180,"Sarcoma, metastatic",cancer,C1522484,metastatic qualifier
1181,Secondary malignant neoplasm of bone,cancer,C3266877,Secondary Malignant Neoplasm
1182,Secondary malignant neoplasm of bone,cancer,C0005931,Bone and Bones
1183,Secondary malignant neoplasm of bone marrow,cancer,C3266877,Secondary Malignant Neoplasm
1184,Secondary malignant neoplasm of bone marrow,cancer,C0005953,Bone Marrow
1185,Secondary malignant neoplasm of female breast,cancer,C3266877,Secondary Malignant Neoplasm
1186,Secondary malignant neoplasm of female breast,cancer,C0086287,Females
1187,Secondary malignant neoplasm of kidney,cancer,C3266877,Secondary Malignant Neoplasm
1188,Secondary malignant neoplasm of kidney,cancer,C0022646,Kidney
1189,Secondary malignant neoplasm of liver,cancer,C3266877,Secondary Malignant Neoplasm
1190,Secondary malignant neoplasm of liver,cancer,C0736268,Liver parenchyma
1191,Secondary malignant neoplasm of lung,cancer,C3266877,Secondary Malignant Neoplasm
1192,Secondary malignant neoplasm of lung,cancer,C0024109,Lung
1193,Secondary malignant neoplasm of lymph node,cancer,C3266877,Secondary Malignant Neoplasm
1194,Secondary malignant neoplasm of lymph node,cancer,C0024204,lymph nodes
1195,Secondary malignant neoplasm of pleura,cancer,C3266877,Secondary Malignant Neoplasm
1196,Secondary malignant neoplasm of pleura,cancer,C0032225,Pleura
1197,Secondary malignant neoplasm of rectum,cancer,C3266877,Secondary Malignant Neoplasm
1198,Secondary malignant neoplasm of rectum,cancer,C0034896,Rectum
1199,Secondary malignant neoplasm of skin,cancer,C3266877,Secondary Malignant Neoplasm
1200,Secondary malignant neoplasm of skin,cancer,C1123023,Skin
1201,Secondary malignant neoplasm of small intestine,cancer,C3266877,Secondary Malignant Neoplasm
1202,Secondary malignant neoplasm of small intestine,cancer,C0021852,"Intestines, Small"
1203,Small cell carcinoma of lung,cancer,C0149925,Small cell carcinoma of lung
1204,Small cell carcinoma of lung,cancer,C0024109,Lung
1205,"Small cell carcinoma, fusiform cell",cancer,C0149925,Small cell carcinoma of lung
1206,"Small cell carcinoma, fusiform cell",cancer,C0333721,Fusiform cell
1207,Smoldering myeloma,cancer,C1531608,Smoldering myeloma
1208,Solid carcinoma,cancer,C0334296,Solid carcinoma
1209,Squamous cell carcinoma,cancer,C0007137,Squamous cell carcinoma
1210,Squamous cell carcinoma of esophagus,cancer,C0007137,Squamous cell carcinoma
1211,Squamous cell carcinoma of esophagus,cancer,C0014876,Esophagus
1212,Squamous cell carcinoma of lip,cancer,C0007137,Squamous cell carcinoma
1213,Squamous cell carcinoma of lip,cancer,C0023759,Lip structure
1214,Squamous cell carcinoma of lung,cancer,C0007137,Squamous cell carcinoma
1215,Squamous cell carcinoma of lung,cancer,C0024109,Lung
1216,Squamous cell carcinoma of mouth,cancer,C0007137,Squamous cell carcinoma
1217,Squamous cell carcinoma of mouth,cancer,C0226896,Oral cavity
1218,Squamous cell carcinoma of nasopharynx,cancer,C0007137,Squamous cell carcinoma
1219,Squamous cell carcinoma of nasopharynx,cancer,C0027442,Nasopharynx
1220,Squamous cell carcinoma of oropharynx,cancer,C0007137,Squamous cell carcinoma
1221,Squamous cell carcinoma of oropharynx,cancer,C0521367,Oropharyngeal
1222,Squamous cell carcinoma of penis,cancer,C0007137,Squamous cell carcinoma
1223,Squamous cell carcinoma of penis,cancer,C0030851,penis
1224,Squamous cell carcinoma of pharynx,cancer,C0007137,Squamous cell carcinoma
1225,Squamous cell carcinoma of pharynx,cancer,C0031354,Pharyngeal structure
1226,Squamous cell carcinoma of skin,cancer,C0007137,Squamous cell carcinoma
1227,Squamous cell carcinoma of skin,cancer,C1123023,Skin
1228,Squamous cell carcinoma of tongue,cancer,C0007137,Squamous cell carcinoma
1229,Squamous cell carcinoma of tongue,cancer,C0040408,Tongue
1230,Squamous cell carcinoma of vagina,cancer,C0007137,Squamous cell carcinoma
1231,Squamous cell carcinoma of vagina,cancer,C0042232,Vagina
1232,"Squamous cell carcinoma, keratinizing",cancer,C0007137,Squamous cell carcinoma
1233,"Squamous cell carcinoma, keratinizing",cancer,C0232387,keratinized
1234,"Squamous cell carcinoma, large cell, nonkeratinizing",cancer,C0007137,Squamous cell carcinoma
1235,"Squamous cell carcinoma, large cell, nonkeratinizing",cancer,C1265996,Large cell neuroendocrine carcinoma
1236,"Squamous cell carcinoma, metastatic",cancer,C0007137,Squamous cell carcinoma
1237,"Squamous cell carcinoma, metastatic",cancer,C1522484,metastatic qualifier
1238,"Squamous cell carcinoma, microinvasive",cancer,C0007137,Squamous cell carcinoma
1239,"Squamous cell carcinoma, microinvasive",cancer,C3853531,Microinvasive
1240,Stromal sarcoma,cancer,C1370723,Stromal sarcoma
1241,Superficial basal cell carcinoma,cancer,C0205124,Superficial
1242,Superficial basal cell carcinoma,cancer,C1547219,Tissue Type Code - Basal cell carcinoma
1243,Sweat gland adenocarcinoma,cancer,C0334344,Sweat gland adenocarcinoma
1244,"Synovial sarcoma, biphasic",cancer,C0039101,synovial sarcoma
1245,"Synovial sarcoma, biphasic",cancer,C0205184,Biphasic
1246,T-cell/histiocyte rich large B-cell lymphoma,cancer,C1321547,T-cell/histiocyte rich large B-cell lymphoma
1247,T-zone lymphoma (clinical),cancer,C0334655,T-zone lymphoma (clinical)
1248,T-zone lymphoma (clinical),cancer,C0205210,Clinical
1249,Teratoid medulloepithelioma,cancer,C0334597,Teratoid medulloepithelioma
